"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29","0.0%","0.0%","100.0%","0.0%","242","1.2%","7.0%","19.4%","29.3%","15.3%","13.2%","14.5%","91.7%","27.7%","9","100.0%","0.0%","50","100.0%","28.0%","114","93.0%","40.4%","69","82.6%","10.1%"
"Blaine County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28","3.6%","7.1%","64.3%","25.0%","414","1.2%","3.1%","45.2%","18.4%","12.3%","16.7%","3.1%","95.7%","19.8%","57","93.0%","40.4%","41","100.0%","14.6%","194","95.9%","21.1%","122","95.1%","9.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13","7.7%","15.4%","76.9%","0.0%","214","2.3%","0.5%","57.9%","12.1%","17.8%","9.3%","0.0%","97.2%","9.3%","28","100.0%","14.3%","27","100.0%","0.0%","89","100.0%","6.7%","70","91.4%","14.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15","0.0%","0.0%","53.3%","46.7%","200","0.0%","6.0%","31.5%","25.0%","6.5%","24.5%","6.5%","94.0%","31.0%","29","86.2%","65.5%","14","100.0%","42.9%","105","92.4%","33.3%","52","100.0%","3.8%"
"Boone County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","382","9.7%","50.5%","29.6%","10.2%","3,844","3.4%","4.9%","42.3%","22.8%","10.9%","10.8%","4.9%","91.8%","15.8%","444","100.0%","29.1%","627","96.5%","15.5%","1,614","95.3%","14.4%","1,159","81.2%","12.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","209","11.5%","49.3%","24.9%","14.4%","1,897","3.6%","5.0%","47.0%","21.3%","10.2%","8.3%","4.6%","91.4%","12.9%","230","100.0%","33.0%","325","96.0%","7.4%","840","94.0%","13.1%","502","80.1%","7.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","173","7.5%","52.0%","35.3%","5.2%","1,947","3.1%","4.7%","37.8%","24.3%","11.5%","13.3%","5.2%","92.1%","18.5%","214","100.0%","24.8%","302","97.0%","24.2%","774","96.6%","15.8%","657","82.0%","17.2%"
"Box Butte County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","872","21.6%","32.7%","44.8%","0.9%","7,594","3.9%","7.1%","36.6%","24.7%","8.2%","15.7%","3.8%","89.1%","19.5%","1,207","92.7%","18.5%","1,294","85.2%","30.7%","3,400","93.8%","19.4%","1,693","80.0%","11.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","543","30.4%","27.8%","41.8%","0.0%","3,636","3.8%","8.5%","36.9%","25.2%","5.0%","16.4%","4.2%","87.7%","20.6%","538","92.6%","21.9%","651","79.6%","29.8%","1,765","92.1%","18.6%","682","80.2%","15.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","329","7.0%","40.7%","49.8%","2.4%","3,958","3.9%","5.8%","36.3%","24.3%","11.2%","15.1%","3.4%","90.3%","18.5%","669","92.8%","15.7%","643","90.8%","31.6%","1,635","95.6%","20.2%","1,011","79.8%","9.4%"
"Boyd County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","140","16.4%","32.9%","49.3%","1.4%","1,511","4.8%","5.5%","41.6%","24.1%","10.8%","11.0%","2.3%","89.7%","13.2%","163","95.7%","8.6%","251","94.8%","15.1%","603","95.2%","13.4%","494","78.5%","13.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","73","19.2%","35.6%","45.2%","0.0%","786","6.6%","6.2%","45.4%","16.7%","9.8%","12.5%","2.8%","87.2%","15.3%","82","91.5%","7.3%","150","100.0%","12.0%","308","91.2%","15.6%","246","72.8%","19.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67","13.4%","29.9%","53.7%","3.0%","725","2.8%","4.7%","37.5%","32.1%","11.9%","9.4%","1.7%","92.6%","11.0%","81","100.0%","9.9%","101","87.1%","19.8%","295","99.3%","11.2%","248","84.3%","7.7%"
"Brown County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161","28.0%","62.1%","9.9%","0.0%","2,291","5.3%","6.4%","41.6%","20.1%","9.8%","12.5%","4.3%","88.3%","16.8%","263","91.6%","12.9%","313","98.1%","4.5%","876","95.1%","25.2%","839","76.4%","13.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96","41.7%","47.9%","10.4%","0.0%","1,050","7.3%","5.9%","41.1%","21.0%","6.4%","13.8%","4.5%","86.8%","18.3%","137","95.6%","19.7%","156","96.2%","0.0%","423","94.6%","32.4%","334","68.9%","8.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65","7.7%","83.1%","9.2%","0.0%","1,241","3.6%","6.8%","41.9%","19.3%","12.7%","11.4%","4.1%","89.5%","15.6%","126","87.3%","5.6%","157","100.0%","8.9%","453","95.6%","18.5%","505","81.4%","17.4%"
"Buffalo County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,693","7.7%","29.3%","54.6%","8.5%","26,933","3.4%","4.5%","29.9%","22.5%","7.7%","22.4%","9.5%","92.1%","32.0%","5,952","94.3%","36.2%","5,176","92.7%","35.7%","10,349","95.2%","34.9%","5,456","83.3%","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,879","8.9%","32.9%","51.9%","6.4%","12,976","4.5%","5.0%","30.3%","23.0%","7.3%","20.4%","9.5%","90.5%","29.9%","3,009","93.5%","31.6%","2,668","90.8%","28.0%","5,012","94.3%","35.7%","2,287","77.8%","17.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,814","6.5%","25.6%","57.3%","10.7%","13,957","2.4%","4.0%","29.5%","22.1%","8.2%","24.3%","9.6%","93.6%","33.9%","2,943","95.1%","40.8%","2,508","94.8%","43.9%","5,337","96.0%","34.2%","3,169","87.3%","19.0%"
"Burt County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","399","14.8%","46.1%","36.3%","2.8%","4,987","2.6%","7.0%","38.8%","23.6%","9.7%","13.4%","4.9%","90.4%","18.3%","581","92.3%","32.7%","803","92.3%","29.1%","1,996","94.5%","17.8%","1,607","83.6%","8.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","207","6.3%","61.4%","30.4%","1.9%","2,415","2.7%","7.7%","37.7%","21.5%","10.4%","14.5%","5.6%","89.6%","20.0%","287","90.2%","34.5%","405","92.1%","27.2%","1,036","92.2%","21.3%","687","84.1%","7.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","192","24.0%","29.7%","42.7%","3.6%","2,572","2.4%","6.5%","39.8%","25.6%","9.0%","12.3%","4.3%","91.1%","16.6%","294","94.2%","31.0%","398","92.5%","31.2%","960","97.1%","14.0%","920","83.3%","8.6%"
"Butler County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","507","22.7%","26.0%","44.2%","7.1%","5,791","4.0%","4.8%","40.6%","23.1%","11.9%","11.3%","4.3%","91.2%","15.7%","800","93.4%","21.8%","976","94.9%","16.6%","2,451","96.9%","18.2%","1,564","79.1%","8.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","267","29.2%","34.1%","28.8%","7.9%","2,880","4.5%","6.3%","42.2%","20.3%","11.7%","10.4%","4.7%","89.2%","15.0%","419","89.7%","16.5%","497","93.0%","11.9%","1,268","96.0%","20.0%","696","74.0%","7.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","240","15.4%","17.1%","61.3%","6.3%","2,911","3.5%","3.3%","39.0%","25.8%","12.1%","12.3%","4.0%","93.2%","16.3%","381","97.4%","27.6%","479","96.9%","21.5%","1,183","97.8%","16.3%","868","83.2%","8.5%"
"Cass County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,614","13.2%","32.0%","47.5%","7.4%","17,125","1.8%","4.5%","33.0%","27.1%","10.2%","16.1%","7.3%","93.8%","23.5%","2,758","94.7%","29.7%","3,517","96.6%","25.4%","7,461","96.5%","23.9%","3,389","84.1%","15.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841","18.5%","32.0%","42.8%","6.7%","8,345","2.2%","4.3%","32.4%","27.1%","10.7%","15.8%","7.5%","93.4%","23.3%","1,344","94.8%","24.2%","1,754","95.3%","22.4%","3,752","96.4%","24.0%","1,495","82.4%","21.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","773","7.4%","32.0%","52.5%","8.2%","8,780","1.4%","4.6%","33.6%","27.0%","9.8%","16.5%","7.1%","94.1%","23.6%","1,414","94.6%","35.0%","1,763","97.8%","28.3%","3,709","96.5%","23.9%","1,894","85.4%","10.1%"
"Cedar County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","569","21.4%","25.3%","46.0%","7.2%","6,000","6.5%","4.0%","44.6%","19.6%","10.1%","11.1%","4.0%","89.5%","15.1%","757","97.4%","29.6%","978","98.4%","20.9%","2,462","95.2%","15.2%","1,803","73.5%","5.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","331","20.8%","29.3%","42.3%","7.6%","2,949","7.2%","4.5%","46.7%","17.5%","11.5%","7.5%","5.2%","88.3%","12.6%","386","94.8%","21.0%","483","97.3%","13.9%","1,292","95.0%","14.5%","788","68.7%","4.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","238","22.3%","19.7%","51.3%","6.7%","3,051","5.9%","3.5%","42.6%","21.7%","8.8%","14.7%","2.9%","90.6%","17.5%","371","100.0%","38.5%","495","99.4%","27.7%","1,170","95.4%","16.1%","1,015","77.3%","6.6%"
"Chase County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254","20.9%","31.5%","47.6%","0.0%","2,746","5.1%","5.7%","42.4%","20.6%","11.6%","11.9%","2.7%","89.2%","14.6%","305","95.7%","26.9%","497","87.1%","19.1%","1,129","93.0%","16.3%","815","82.7%","4.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","149","19.5%","43.0%","37.6%","0.0%","1,326","5.7%","7.0%","44.9%","16.0%","15.4%","6.8%","4.3%","87.3%","11.1%","163","92.0%","29.4%","233","83.7%","9.0%","587","91.0%","11.6%","343","81.3%","2.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","105","22.9%","15.2%","61.9%","0.0%","1,420","4.6%","4.4%","40.1%","24.9%","8.1%","16.7%","1.1%","90.9%","17.8%","142","100.0%","23.9%","264","90.2%","28.0%","542","95.2%","21.4%","472","83.7%","6.1%"
"Cherry County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345","2.9%","51.9%","45.2%","0.0%","4,078","3.1%","7.4%","33.9%","23.5%","9.4%","17.1%","5.5%","89.5%","22.6%","542","91.1%","21.4%","726","86.6%","26.0%","1,623","97.2%","27.0%","1,187","80.1%","15.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","160","1.3%","66.9%","31.9%","0.0%","1,967","4.3%","9.1%","35.0%","19.4%","7.2%","20.2%","4.8%","86.6%","25.0%","272","84.2%","25.7%","349","87.4%","33.0%","819","97.1%","26.7%","527","71.2%","16.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185","4.3%","38.9%","56.8%","0.0%","2,111","1.9%","5.8%","32.9%","27.4%","11.5%","14.3%","6.2%","92.2%","20.4%","270","98.1%","17.0%","377","85.9%","19.6%","804","97.3%","27.4%","660","87.3%","13.8%"
"Cheyenne County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","668","15.0%","36.2%","33.1%","15.7%","6,940","1.5%","5.0%","31.0%","26.6%","8.8%","20.0%","7.1%","93.5%","27.1%","1,279","92.9%","36.1%","1,228","96.7%","35.5%","2,850","96.9%","25.2%","1,583","85.3%","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","353","13.9%","47.6%","24.9%","13.6%","3,370","1.4%","5.5%","28.9%","25.8%","9.1%","21.3%","8.0%","93.1%","29.3%","644","94.7%","31.1%","648","95.8%","43.4%","1,424","96.9%","27.4%","654","80.4%","17.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","315","16.2%","23.5%","42.2%","18.1%","3,570","1.6%","4.5%","33.0%","27.3%","8.5%","18.8%","6.3%","93.9%","25.1%","635","91.0%","41.3%","580","97.6%","26.7%","1,426","97.0%","23.0%","929","88.8%","16.3%"
"Clay County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","445","15.7%","26.1%","50.8%","7.4%","4,427","4.9%","5.3%","39.5%","21.7%","12.1%","11.1%","5.3%","89.7%","16.4%","550","93.8%","16.9%","767","94.1%","18.4%","1,937","92.6%","19.7%","1,173","80.2%","9.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252","23.0%","27.4%","42.9%","6.7%","2,160","5.3%","5.1%","40.3%","21.4%","11.9%","9.8%","6.2%","89.6%","16.0%","271","92.3%","14.4%","376","93.9%","18.4%","992","92.7%","18.9%","521","79.1%","9.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","193","6.2%","24.4%","61.1%","8.3%","2,267","4.5%","5.6%","38.7%","22.1%","12.4%","12.3%","4.5%","89.9%","16.8%","279","95.3%","19.4%","391","94.4%","18.4%","945","92.5%","20.6%","652","81.1%","9.0%"
"Colfax County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","977","46.5%","25.2%","27.4%","0.9%","6,393","15.2%","11.6%","32.6%","20.8%","7.1%","9.1%","3.6%","73.2%","12.7%","1,251","48.1%","15.1%","1,257","72.3%","16.5%","2,389","83.9%","11.3%","1,496","77.8%","9.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","543","55.6%","15.5%","27.3%","1.7%","3,250","18.2%","13.4%","32.3%","18.0%","7.4%","7.4%","3.4%","68.4%","10.7%","689","47.5%","11.2%","653","64.6%","13.2%","1,279","77.3%","8.4%","629","77.1%","12.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","434","35.0%","37.3%","27.6%","0.0%","3,143","12.0%","9.8%","32.8%","23.8%","6.8%","10.8%","3.9%","78.2%","14.8%","562","48.9%","19.9%","604","80.6%","20.2%","1,110","91.5%","14.6%","867","78.3%","8.0%"
"Cuming County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
