"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"        Estimate","19,122","16.2%","29.1%","47.3%","7.3%","148,458","2.8%","7.5%","31.6%","27.4%","11.3%","12.0%","7.3%","89.6%","19.3%","25,336","90.7%","23.5%","27,122","94.2%","25.2%","60,864","92.5%","19.3%","35,136","80.5%","11.8%"
"Gladwin County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,735","27.0%","34.9%","33.5%","4.7%","18,865","5.3%","10.1%","40.2%","23.0%","8.9%","7.6%","4.9%","84.5%","12.5%","2,228","85.2%","16.1%","2,670","86.8%","12.4%","7,874","87.1%","12.5%","6,093","79.9%","11.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","922","28.0%","36.8%","29.5%","5.7%","9,339","5.8%","10.7%","40.4%","23.4%","6.8%","8.0%","5.0%","83.5%","12.9%","1,146","84.9%","12.3%","1,344","86.5%","11.0%","3,936","85.5%","13.5%","2,913","78.9%","13.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","813","25.8%","32.7%","38.0%","3.4%","9,526","4.8%","9.6%","39.9%","22.7%","10.9%","7.2%","4.7%","85.5%","12.0%","1,082","85.5%","20.1%","1,326","87.0%","13.8%","3,938","88.8%","11.5%","3,180","80.8%","9.1%"
"Gogebic County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,332","15.3%","34.2%","48.5%","2.0%","12,148","1.9%","5.7%","39.2%","25.6%","10.0%","12.1%","5.4%","92.3%","17.6%","1,669","92.3%","15.4%","1,867","93.0%","20.1%","4,988","94.2%","18.4%","3,624","89.4%","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","815","21.8%","41.2%","35.6%","1.3%","6,496","2.1%","6.6%","40.9%","23.5%","9.3%","12.0%","5.6%","91.3%","17.6%","1,000","96.0%","15.0%","1,140","92.5%","17.7%","2,685","91.2%","15.9%","1,671","87.9%","21.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","517","5.0%","23.2%","68.9%","2.9%","5,652","1.8%","4.7%","37.2%","28.0%","10.8%","12.3%","5.3%","93.5%","17.6%","669","86.8%","16.0%","727","93.8%","23.8%","2,303","97.7%","21.5%","1,953","90.7%","11.2%"
"Grand Traverse County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,150","15.6%","29.4%","46.1%","8.9%","62,807","1.6%","5.0%","27.8%","24.8%","10.0%","18.3%","12.6%","93.4%","30.8%","11,333","91.7%","25.1%","10,730","93.9%","32.2%","26,698","95.0%","31.2%","14,046","91.3%","33.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,707","19.0%","36.3%","38.0%","6.7%","30,436","2.0%","5.2%","29.2%","24.7%","8.0%","18.6%","12.3%","92.8%","30.9%","5,873","89.6%","22.3%","5,556","92.8%","28.7%","12,955","94.5%","31.1%","6,052","92.2%","40.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,443","11.9%","21.9%","54.9%","11.3%","32,371","1.3%","4.8%","26.4%","24.9%","11.9%","18.0%","12.7%","93.9%","30.8%","5,460","93.9%","28.1%","5,174","95.0%","36.0%","13,743","95.5%","31.3%","7,994","90.5%","28.3%"
"Gratiot County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,924","10.5%","39.1%","46.5%","3.9%","28,385","3.5%","7.8%","41.7%","25.5%","7.7%","8.8%","5.0%","88.8%","13.8%","5,389","88.1%","12.2%","5,224","94.1%","17.0%","11,261","90.3%","14.0%","6,511","82.3%","11.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,792","14.5%","42.1%","41.4%","1.9%","15,092","3.8%","9.6%","43.5%","24.7%","6.2%","7.4%","4.8%","86.6%","12.2%","3,227","84.1%","7.4%","3,012","91.5%","10.8%","5,997","88.4%","13.8%","2,856","80.3%","15.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,132","5.2%","35.2%","53.1%","6.4%","13,293","3.1%","5.7%","39.7%","26.5%","9.5%","10.4%","5.2%","91.2%","15.6%","2,162","94.1%","19.4%","2,212","97.6%","25.5%","5,264","92.5%","14.4%","3,655","83.9%","9.0%"
"Hillsdale County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,538","13.9%","30.0%","52.0%","4.0%","31,129","3.9%","8.8%","40.9%","23.2%","7.6%","9.3%","6.4%","87.3%","15.6%","4,777","84.6%","14.0%","5,278","89.0%","18.7%","13,409","90.1%","15.7%","7,665","82.8%","14.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,267","15.9%","31.5%","49.4%","3.2%","15,283","4.1%","10.4%","42.1%","22.4%","5.5%","9.0%","6.5%","85.6%","15.5%","2,372","81.7%","10.6%","2,703","87.6%","19.3%","6,729","88.1%","14.8%","3,479","81.9%","17.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,271","12.0%","28.4%","54.7%","4.8%","15,846","3.7%","7.3%","39.7%","23.9%","9.6%","9.5%","6.2%","89.0%","15.7%","2,405","87.4%","17.3%","2,575","90.6%","18.1%","6,680","92.2%","16.5%","4,186","83.6%","12.2%"
"Houghton County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,653","6.4%","19.0%","64.9%","9.7%","21,536","2.7%","5.8%","34.6%","19.2%","8.1%","17.9%","11.7%","91.5%","29.6%","3,880","95.1%","41.3%","3,426","94.1%","36.2%","8,592","94.9%","27.5%","5,638","82.2%","20.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,186","7.3%","18.1%","64.7%","9.9%","10,841","2.7%","5.8%","33.5%","20.7%","6.3%","17.6%","13.4%","91.5%","31.0%","2,158","93.8%","39.6%","1,770","92.2%","34.8%","4,323","94.4%","27.1%","2,590","84.2%","27.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,467","4.6%","21.0%","65.2%","9.2%","10,695","2.7%","5.8%","35.7%","17.7%","10.0%","18.2%","9.9%","91.5%","28.1%","1,722","96.7%","43.4%","1,656","96.1%","37.7%","4,269","95.4%","27.9%","3,048","80.6%","14.6%"
"Huron County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,193","12.4%","34.3%","45.8%","7.4%","23,799","4.5%","8.0%","44.3%","20.0%","9.0%","9.5%","4.6%","87.5%","14.1%","3,007","91.1%","17.5%","3,373","92.7%","17.4%","10,058","91.7%","14.1%","7,361","77.9%","11.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,169","14.9%","40.7%","36.7%","7.7%","11,675","4.9%","9.2%","46.1%","19.7%","7.5%","8.0%","4.6%","85.9%","12.6%","1,602","89.0%","11.3%","1,689","90.6%","11.4%","5,091","89.8%","14.2%","3,293","76.0%","11.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,024","9.7%","27.0%","56.3%","7.1%","12,124","4.1%","6.9%","42.5%","20.4%","10.5%","11.1%","4.5%","89.0%","15.6%","1,405","93.5%","24.6%","1,684","94.8%","23.5%","4,967","93.7%","14.0%","4,068","79.4%","11.2%"
"Ingham County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","56,598","6.1%","16.6%","64.9%","12.4%","167,973","2.8%","5.8%","21.2%","24.6%","8.9%","20.1%","16.5%","91.3%","36.5%","38,870","93.2%","44.0%","30,864","93.2%","37.5%","66,693","92.0%","34.1%","31,546","85.7%","31.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,670","6.4%","18.0%","64.9%","10.7%","79,936","3.0%","6.1%","20.2%","25.9%","7.7%","20.0%","17.0%","90.9%","37.0%","19,561","92.0%","41.8%","15,203","93.8%","35.4%","31,756","90.6%","33.8%","13,416","86.5%","39.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,928","5.8%","15.2%","65.0%","14.0%","88,037","2.7%","5.6%","22.1%","23.5%","10.1%","20.1%","16.0%","91.8%","36.1%","19,309","94.4%","46.1%","15,661","92.7%","39.7%","34,937","93.3%","34.5%","18,130","85.1%","25.5%"
"Ionia County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,809","17.0%","38.6%","39.0%","5.4%","42,469","3.5%","8.2%","38.9%","25.9%","9.3%","10.1%","4.1%","88.3%","14.2%","8,302","88.6%","14.7%","8,862","90.6%","20.0%","17,556","89.3%","12.7%","7,749","83.3%","10.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,464","19.4%","43.5%","33.5%","3.6%","22,456","4.1%","9.9%","38.8%","25.7%","8.9%","9.1%","3.5%","86.0%","12.6%","4,704","86.1%","9.6%","5,019","87.8%","17.0%","9,223","86.6%","11.6%","3,510","81.5%","12.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,345","13.6%","31.3%","47.2%","8.0%","20,013","2.8%","6.2%","38.9%","26.2%","9.8%","11.3%","4.8%","91.0%","16.1%","3,598","91.9%","21.4%","3,843","94.3%","23.9%","8,333","92.3%","14.0%","4,239","84.8%","8.6%"
"Iosco County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,665","25.7%","31.1%","39.1%","4.1%","19,583","3.0%","9.9%","39.7%","25.1%","7.8%","8.9%","5.5%","87.1%","14.5%","2,058","84.7%","15.0%","2,346","87.0%","16.4%","8,257","90.6%","14.1%","6,922","83.6%","14.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","873","29.9%","31.6%","38.3%","0.2%","9,690","4.0%","9.9%","39.3%","26.7%","6.0%","8.3%","5.9%","86.2%","14.2%","1,029","82.0%","11.0%","1,172","85.0%","9.7%","4,175","90.2%","13.9%","3,314","82.7%","17.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","792","21.1%","30.6%","40.0%","8.3%","9,893","2.0%","10.0%","40.2%","23.5%","9.6%","9.6%","5.2%","88.0%","14.7%","1,029","87.5%","19.0%","1,174","89.0%","23.1%","4,082","91.0%","14.2%","3,608","84.5%","11.4%"
"Iron County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","608","19.9%","38.8%","35.5%","5.8%","9,053","2.7%","6.3%","43.1%","19.5%","8.5%","13.6%","6.4%","91.0%","19.9%","955","94.9%","21.5%","1,044","91.2%","18.8%","3,895","93.7%","19.7%","3,159","86.5%","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","315","29.2%","33.3%","32.1%","5.4%","4,440","3.4%","6.2%","41.5%","20.0%","8.5%","13.7%","6.7%","90.4%","20.4%","486","94.9%","22.8%","542","92.4%","16.8%","1,994","92.0%","17.9%","1,418","85.8%","24.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","293","9.9%","44.7%","39.2%","6.1%","4,613","2.0%","6.3%","44.7%","19.0%","8.5%","13.5%","6.0%","91.7%","19.5%","469","94.9%","20.0%","502","89.8%","20.9%","1,901","95.6%","21.7%","1,741","87.1%","16.7%"
"Isabella County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,774","4.7%","15.9%","73.7%","5.8%","36,362","2.6%","7.0%","32.5%","23.7%","8.1%","14.9%","11.2%","90.5%","26.1%","8,367","92.6%","28.8%","6,474","93.3%","28.8%","14,266","91.2%","25.8%","7,255","84.0%","21.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,223","5.3%","15.8%","74.9%","4.1%","17,739","2.7%","8.1%","33.5%","23.5%","6.6%","14.7%","10.9%","89.2%","25.6%","4,342","90.9%","28.4%","3,306","92.9%","24.5%","6,954","89.2%","24.1%","3,137","83.1%","26.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,551","4.1%","15.9%","72.7%","7.3%","18,623","2.4%","6.0%","31.5%","23.9%","9.6%","15.1%","11.5%","91.6%","26.6%","4,025","94.5%","29.3%","3,168","93.6%","33.2%","7,312","93.2%","27.4%","4,118","84.6%","17.7%"
"Jackson County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,872","17.6%","28.6%","49.1%","4.8%","108,955","2.4%","7.9%","34.6%","27.2%","8.8%","13.0%","6.0%","89.7%","19.0%","18,780","88.0%","19.3%","20,280","91.7%","22.7%","45,922","92.5%","18.6%","23,973","83.9%","16.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,808","22.1%","33.0%","41.4%","3.4%","55,408","2.7%","8.5%","35.6%","28.0%","7.6%","11.9%","5.5%","88.7%","17.4%","10,200","86.8%","15.0%","11,011","90.2%","17.7%","23,566","91.6%","17.3%","10,631","82.8%","20.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,064","12.6%","23.6%","57.5%","6.3%","53,547","2.0%","7.3%","33.5%","26.4%","10.1%","14.2%","6.5%","90.7%","20.7%","8,580","89.4%","24.5%","9,269","93.4%","28.7%","22,356","93.5%","19.9%","13,342","84.8%","14.0%"
"Kalamazoo County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,516","7.2%","18.5%","63.2%","11.1%","157,301","2.1%","5.2%","23.9%","24.9%","9.4%","21.1%","13.4%","92.7%","34.4%","33,191","94.1%","36.6%","29,515","93.7%","38.4%","61,902","93.8%","34.1%","32,693","88.1%","29.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,450","7.9%","20.3%","63.6%","8.2%","75,192","2.2%","5.5%","24.0%","25.7%","7.7%","21.3%","13.7%","92.3%","35.0%","16,780","93.4%","35.1%","14,629","93.2%","35.1%","29,855","92.5%","34.5%","13,928","89.8%","36.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,066","6.4%","16.8%","62.7%","14.1%","82,109","2.0%","5.0%","23.9%","24.3%","10.9%","20.8%","13.1%","93.0%","33.9%","16,411","94.9%","38.1%","14,886","94.3%","41.7%","32,047","95.0%","33.7%","18,765","86.9%","24.3%"
"Kalkaska County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,180","17.6%","40.0%","38.1%","4.2%","12,229","3.1%","10.7%","42.7%","23.4%","7.0%","8.1%","4.9%","86.2%","13.0%","1,827","87.0%","16.4%","2,045","87.8%","11.2%","5,284","88.0%","10.9%","3,073","81.5%","15.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","622","18.2%","47.7%","32.5%","1.6%","6,146","3.8%","11.2%","44.5%","23.5%","6.0%","7.1%","4.0%","85.0%","11.1%","939","85.3%","14.3%","1,055","88.4%","6.9%","2,670","86.5%","9.6%","1,482","79.9%","14.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","558","17.0%","31.4%","44.4%","7.2%","6,083","2.5%","10.2%","40.9%","23.4%","8.0%","9.0%","5.9%","87.3%","14.9%","888","88.7%","18.6%","990","87.2%","15.8%","2,614","89.6%","12.3%","1,591","82.9%","16.8%"
"Kent County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","62,633","14.0%","25.2%","48.2%","12.7%","394,991","4.2%","6.5%","26.0%","22.1%","8.6%","21.3%","11.3%","89.3%","32.6%","89,542","90.0%","36.8%","76,828","88.7%","37.3%","156,981","91.3%","32.0%","71,640","85.0%","23.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,138","17.4%","28.5%","42.9%","11.2%","190,039","4.5%","7.1%","25.8%","22.3%","7.3%","21.1%","12.0%","88.5%","33.1%","44,439","88.0%","32.7%","38,137","88.1%","35.5%","76,823","90.5%","33.6%","30,640","84.6%","29.3%"
